item	classification	result	requirement	detail	evidence
0195	REQUIRED	P	Directory entry user number	Entry user number was zero	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0196	REQUIRED	P	Directory entry FCB field layout	Search slot=02; next=01	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0197	REQUIRED	P	Search wildcard matching	Wildcard matched search names	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0198	REQUIRED	P	Type attribute comparison	Attribute search=03; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0199	REQUIRED	P	Default-drive FCB search	Drive 0 searched current disk	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0200	REQUIRED	P	Explicit-drive search	Explicit result=00; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0201	REQUIRED	P	Search First S2 handling	Search First tolerated S2 input	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0202	REQUIRED	P	All-user search wildcard drive	Users found mask=03	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0203	REQUIRED	P	Search Next call convention	Search Next continued scan	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0204	REQUIRED	P	Search Next continuation semantics	First=00; next=01	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0205	REQUIRED	P	Search Next result and DMA relationship	Search Next updated DMA slot	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0206	REQUIRED	P	Search Next unsuccessful result code	First=00; next=FF	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0207	REQUIRED	P	Search First restart behavior	Search First restarted scan	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0208	REQUIRED	P	Set DMA Address call convention	Search=00; next=42	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0209	REQUIRED	P	DMA address persistence	DMA persirst restarted scan	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0210	REQUIRED	P	DMA change during search continuation	First DMA=00; next=01	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0211	REQUIRED	P	Directory enumeration order	Enumeration followed entries	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0212	REQUIRED	P	Repeat-search ordering stability	Repeat first=00; next=01	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0213	NOT GUARANTEED	O	Enumeration ordering guarantee limitation	Order varies across media	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0214	NOT GUARANTEED	O	Default-drive continuation limitation	Before drive change=00; next=FF	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0215	NOT GUARANTEED	O	Search continuation state limitation	Continuation state is private	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0216	NOT GUARANTEED	O	Failed-search DMA contents	Failed search=FF; next=A5	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0217	OUTSIDE SCOPE	-	DRI FFh-path directory copy	Outside executable scope	followup/BDOSTEST_ALL_v3/screens.txt
0218	OUTSIDE SCOPE	UNRECORDED	DRI private search implementation		
0219	REQUIRED	P	Function 20 call convention	Prereq/Open=00; read/state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0220	REQUIRED	P	Activated-FCB precondition	Prereq/Open=00; read/state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0221	REQUIRED	P	Sequential position source	Prereq/Open=03; read/state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0222	REQUIRED	P	Successful result	Prereq/Open=00; read/state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0223	REQUIRED	P	Successful transfer size	Prereq/Open=00; read/state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0224	REQUIRED	P	Current DMA destination	Prereq/Open=00; read/state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0225	NOT GUARANTEED	O	Partial-byte count	Prereq/Open=02; read/state=41	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0226	REQUIRED	P	Advance after success	Prereq/Open=03; read/state=02	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0227	REQUIRED	P	CR progression within an extent	Prereq/Open=03; read/state=03	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0228	REQUIRED	P	Full-extent position	Prereq/Open=02; read/state=80	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0229	REQUIRED	P	Automatic extent transition	Prereq/Open=00; read/state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0230	REQUIRED	P	New-extent first-record state	Prereq/Open=00; read/state=01	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0231	REQUIRED	P	Extent working-state replacement	Prereq/Open=00; read/state=02	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0232	REQUIRED	P	EOF/no-data result	Prereq/Open=00; read/state=01	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0233	NOT GUARANTEED	O	Exact EOF code	Prereq/Open=01; read/state=01	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0234	REQUIRED	P	Empty-file behavior	Prereq/Open=02; read/state=01	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0235	REQUIRED	P	Partial-final-extent EOF	Prereq/Open=02; read/state=01	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0236	REQUIRED	P	Exact-boundary EOF	Prereq/Open=02; read/state=01	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0237	REQUIRED	P	Repeated EOF indication	Prereq/Open=02; read/state=01	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0238	NOT GUARANTEED	O	DMA contents after failure	Prereq/Open=01; read/state=E7	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0239	REQUIRED	P	FCB mutation	Prereq/Open=03; read/state=03	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0240	NOT GUARANTEED	O	Exact FCB image after failed read	Prereq/Open=01; read/state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0241	OUTSIDE SCOPE	UNRECORDED	DRI exact-boundary EX drift		
0242	REQUIRED	P	Explicit-drive read	Prereq/Open=00; read/state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0243	REQUIRED	P	Read-only readability	Prereq/Open=03; read/state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0244	NOT GUARANTEED	O	Unopened-FCB result	Prereq/Open=01; read/state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0245	NOT GUARANTEED	O	Invalid-FCB result	Prereq/Open=01; read/state=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0246	PROFILE REQUIRED	-	Physical read-error presentation	Run /0246 with CPM-DISKERR-INT read-fault provider	followup/ERRTEST_SAFE_v2/screens.txt
0247	OUTSIDE SCOPE	UNRECORDED	DRI internal read machinery		
0248	REQUIRED	P	Function 22 convention	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0249	REQUIRED	P	Make uniqueness precondition	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0250	REQUIRED	P	New empty file	Prereq=00; Make/write=01	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0251	REQUIRED	P	Make activates FCB	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0252	REQUIRED	P	Make success result	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0253	REQUIRED	P	Make directory-full result	Prereq=00; Make/write=FF	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0254	REQUIRED	P	Immediate empty-file visibility	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0255	REQUIRED	P	Data-full empty Make	Empty Make succeeded on full disk	build/compatibility/run-20260907-211115/DISKTEST_ALL_D/rows.txt
0256	NOT GUARANTEED	O	Make on existing name	Prereq=FF; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0257	NOT GUARANTEED	O	Ambiguous Make name	Prereq=FF; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0258	OUTSIDE SCOPE	UNRECORDED	Immediate data-block reservation		
0259	REQUIRED	P	Function 21 convention	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0260	REQUIRED	P	Write activation precondition	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0261	REQUIRED	P	Write source position	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0262	REQUIRED	P	Successful write result	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0263	REQUIRED	P	Write transfer size	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0264	REQUIRED	P	Current DMA source	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0265	NOT GUARANTEED	O	Partial-record length	Prereq=02; Make/write=41	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0266	REQUIRED	P	CR advance after write	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0267	REQUIRED	P	RC extension	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0268	REQUIRED	P	Existing-record overwrite	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0269	REQUIRED	P	On-demand allocation	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0270	NOT GUARANTEED	O	Exact allocation choice	Prereq=F5; Make/write=01	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0271	REQUIRED	P	Automatic write extent transition	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0272	REQUIRED	P	Successful transition state	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0273	REQUIRED	P	Full last record remains successful	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0274	REQUIRED	P	Next-extent failure result	Prereq=00; Make/write=FF	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0275	REQUIRED	P	Allocation-full failure	Growth failed; old file intact	build/compatibility/run-20260907-211115/DISKTEST_ALL_D/rows.txt
0276	REQUIRED	P	Exact write failure codes	Sequential=02h, random=02h	build/compatibility/run-20260907-211115/DISKTEST_ALL_D/rows.txt
0277	NOT GUARANTEED	O	Unactivated write behavior	Prereq=00; Make/write=01	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0278	REQUIRED	P	Explicit-drive Make/Write	Prereq=01; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0279	REQUIRED	P	Close commits final written metadata	Prereq=00; Make/write=00	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0280	NOT GUARANTEED	O	Unclosed final extent	Prereq=F6; Make/write=01	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0281	NOT GUARANTEED	O	Pre-Close directory metadata	Prereq=F5; Make/write=01	build/compatibility/run-20260908-001449/FILETEST_ALL/rows.txt
0282	OUTSIDE SCOPE	UNRECORDED	Exact close-time update sequence		
0283	PROFILE REQUIRED	-	Physical write-error presentation	Run /0283 with CPM-DISKERR-INT write-fault provider	followup/ERRTEST_SAFE_v2/screens.txt
0284	OUTSIDE SCOPE	UNRECORDED	DRI private write machinery		
0285	REQUIRED	P	Function 19 convention	Delete=00; next=FF	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0286	REQUIRED	P	Delete identity	Delete/non-target=00; next=01	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0287	REQUIRED	P	Delete wildcards	Wildcard/nonmatch=00; next=02	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0288	REQUIRED	P	Delete all matches	Matches before/after=02; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0289	REQUIRED	P	Delete success result	Delete result/remaining=00; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0290	REQUIRED	P	Delete no-match result	Absent delete=FF; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0291	REQUIRED	P	Immediate search disappearance	Delete/search=00; next=FF	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0292	REQUIRED	P	Allocation release	Released block was reusable	build/compatibility/run-20260907-211115/DISKTEST_ALL_D/rows.txt
0293	NOT GUARANTEED	O	Exact freed-block reuse	Same freed block was reused	build/compatibility/run-20260907-211115/DISKTEST_ALL_D/rows.txt
0294	REQUIRED	P	Explicit-drive Delete	Drive before/after=00; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0295	REQUIRED	P	Delete user isolation	User0 delete/user1 search=00; next=01	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0296	NOT GUARANTEED	O	Open FCB after Delete	Open/delete/close=00; next=FF	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0297	OUTSIDE SCOPE	-	DRI E5 deletion mechanism	DRI E5 deletion mechanism is outside scope	followup/DIRTEST_ALL_v2/screens.txt
0298	REQUIRED	P	Function 23 convention	Rename/search=00; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0299	REQUIRED	P	Rename FCB layout	Rename/old search=00; next=FF	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0300	REQUIRED	P	Same-drive destination	Same-drive rename/search=00; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0301	REQUIRED	P	Rename all extents	Rename/size records=00; next=81	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0302	REQUIRED	P	Rename success result	Rename result=00; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0303	REQUIRED	P	Rename missing-source result	Missing-source rename=FF; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0304	REQUIRED	P	Rename identity transition	Old/new search=FF; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0305	REQUIRED	P	Rename data preservation	Rename/read=00; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0306	REQUIRED	P	Rename user preservation	User1 rename/user0 search=00; next=FF	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0307	REQUIRED	P	Explicit-drive Rename	Default drive before/after=00; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0308	NOT GUARANTEED	O	Destination collision	Collision result/matches=FF; next=01	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0309	OUTSIDE SCOPE	-	Wildcard Rename	Wildcard Rename is outside scope	followup/DIRTEST_ALL_v2/screens.txt
0310	NOT GUARANTEED	O	Open FCB after Rename	Open/renamed-close=00; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0311	NOT GUARANTEED	O	Physical directory order	Physical search slots=00; next=01	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0312	OUTSIDE SCOPE	-	Timestamp preservation	Timestamp preservation is outside scope	followup/DIRTEST_ALL_v2/screens.txt
0313	OUTSIDE SCOPE	-	DRI in-place rename algorithm	DRI in-place rename algorithm is outside scope	followup/DIRTEST_ALL_v2/screens.txt
0314	PROFILE REQUIRED	-	Delete/Rename physical errors	Run /0314 with delete/rename fault provider	followup/ERRTEST_SAFE_v2/screens.txt
0315	NOT GUARANTEED	O	Invalid drive ambiguity	Invalid drive/no oracle=10; next=FF	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0316	OUTSIDE SCOPE	-	Directory compaction	Directory compaction is outside scope	followup/DIRTEST_ALL_v2/screens.txt
0317	REQUIRED	P	Random field location	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0318	REQUIRED	P	Random field byte order	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0319	REQUIRED	P	CP/M 2.2 random range	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0320	REQUIRED	P	Random/sequential state distinction	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0321	REQUIRED	P	Function 36 convention	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0322	REQUIRED	P	Function 36 direction	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0323	REQUIRED	P	Function 36 boundary equivalence	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0324	REQUIRED	P	Function 36 no I/O	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0325	NOT GUARANTEED	UNRECORDED	Function 36 A value		
0326	REQUIRED	P	Function 33 convention	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0327	REQUIRED	P	Random read destination	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0328	REQUIRED	P	Random read success	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0329	REQUIRED	P	Random read position	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0330	REQUIRED	P	Random read no advance	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0331	REQUIRED	P	Random read unwritten data	Prereq/Open=00; random-I/O=01	followup/RANDTEST_ALL/screens.txt
0332	REQUIRED	P	Random read missing extent	Prereq/Open=00; random-I/O=FF	followup/RANDTEST_ALL/screens.txt
0333	REQUIRED	P	Random overflow	Prereq/Open=00; random-I/O=FF	followup/RANDTEST_ALL/screens.txt
0334	NOT GUARANTEED	UNRECORDED	DMA after failed random read		
0335	REQUIRED	P	Function 34 convention	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0336	REQUIRED	P	Random write transfer	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0337	REQUIRED	P	Random write success	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0338	REQUIRED	P	Random write allocation	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0339	REQUIRED	P	Random write holes	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0340	REQUIRED	P	Random write virtual length	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0341	REQUIRED	P	Random write working fields	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0342	REQUIRED	P	Random write no advance	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0343	REQUIRED	P	No automatic random extent switch	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0344	REQUIRED	P	Random write Close	Prereq/Open=00; random-I/O=00	followup/RANDTEST_ALL/screens.txt
0345	REQUIRED	P	Random write extent failure	Structured case report PASS	build/compatibility/run-20260907-222051/RANDTEST_0345:REPORT/screens.txt
0346	REQUIRED	P	Allocation-full exact code	Structured case report PASS	build/compatibility/run-20260907-211227/RANDTEST_0346:REPORT/screens.txt
0347	REQUIRED	P	Function 35 convention	Structured case report PASS	build/compatibility/run-20260907-220132/RANDTEST_0347:REPORT/screens.txt
0348	REQUIRED	P	Function 35 result location	Structured case report PASS	build/compatibility/run-20260907-220132/RANDTEST_0348:REPORT/screens.txt
0349	REQUIRED	P	Function 35 unit	Structured case report PASS	build/compatibility/run-20260907-220927/RANDTEST_0349:REPORT/screens.txt
0350	REQUIRED	P	Function 35 maximum	Structured case report PASS	build/compatibility/run-20260907-220132/RANDTEST_0350:REPORT/screens.txt
0351	REQUIRED	P	Sparse virtual size	Structured case report PASS	build/compatibility/run-20260907-220132/RANDTEST_0351:REPORT/screens.txt
0352	NOT GUARANTEED	UNRECORDED	Function 35 A value		
0353	OUTSIDE SCOPE	UNRECORDED	DRI random seek machinery		
0354	PROFILE REQUIRED	-	Physical random-I/O errors	Run /0354 with random-I/O fault provider	followup/ERRTEST_SAFE_v2/screens.txt
0355	OUTSIDE SCOPE	-	Physical allocation equals virtual size	Physical allocation is outside portable scope	followup/DISKTEST_ALL_D_v4/screens.txt
0356	REQUIRED	P	Read-only attribute location	Read-only type byte=D4; next=4D	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0357	REQUIRED	P	System attribute location	System type bytes=54; next=CD	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0358	REQUIRED	P	Attribute/type coexistence	Coexisting type bytes=D4; next=CD	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0359	NOT GUARANTEED	O	Reserved t3’	Reserved t3/result=D0; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0360	REQUIRED	P	Function 30 convention	Function30/search slot=00; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0361	REQUIRED	P	Function 30 set/clear	Set/clear type byte=D4; next=54	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0362	REQUIRED	P	Function 30 all extents	All-extents result/type=00; next=D4	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0363	REQUIRED	P	Function 30 success result	Function30 result=00; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0364	REQUIRED	P	Function 30 no-match result	Missing attribute result=FF; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0365	NOT GUARANTEED	O	Function 30 exact success slot	Exact Function30 slot=00; next=00	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0366	REQUIRED	P	Open preserves indicators	Open/type indicator=00; next=D4	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0367	REQUIRED	P	Make accepts indicators	Make/type indicator=00; next=D4	build/compatibility/run-20260908-001449/DIRTEST_ALL/rows.txt
0368	REQUIRED	P	File read-only sequential protection	Read-only file write produced File R/O and warm restart; file bytes match pristine fixture.	build/compatibility/run-20260907-222051/RANDTEST_0368:REPORT/final.txt
0369	REQUIRED	P	File read-only random protection	Read-only file write produced File R/O and warm restart; file bytes match pristine fixture.	build/compatibility/run-20260907-222051/RANDTEST_0369:REPORT/final.txt
0370	REQUIRED	P	File read-only delete protection	RO delete/search=FF; next=00	build/compatibility/run-20260907-220823/DIRTEST_0370/rows.txt
0371	REQUIRED	P	File read-only rename protection	RO rename/search=FF; next=00	build/compatibility/run-20260907-220823/DIRTEST_0371/rows.txt
0372	NOT GUARANTEED	O	Protected-operation normal result	Prereq/Open=03; random-I/O=C4	build/compatibility/run-20260908-000045/RANDTEST_GROUP:LIFECYCLE/rows.txt
0373	REQUIRED	P	Function 28 convention	Function 28 protected current disk	build/compatibility/run-20260907-211115/DISKTEST_ALL_D/rows.txt
0374	REQUIRED	P	Function 28 transience	Protection ended after disk reset	build/compatibility/run-20260907-211115/DISKTEST_ALL_D/rows.txt
0375	REQUIRED	P	Function 29 convention	Function 29 returned R/O vector	build/compatibility/run-20260907-211115/DISKTEST_ALL_D/rows.txt
0376	REQUIRED	P	Read-only vector mapping	Vector bit 1 represented drive B	build/compatibility/run-20260907-211115/DISKTEST_ALL_D/rows.txt
0377	REQUIRED	P	Function 28 vector effect	Function 28 set drive-B vector bit	build/compatibility/run-20260907-211115/DISKTEST_ALL_D/rows.txt
0378	REQUIRED	P	Reset clears software protection	Function 13 cleared R/O vector	build/compatibility/run-20260907-211115/DISKTEST_ALL_D/rows.txt
0379	REQUIRED	P	Protected-disk Make	Protected mutation entered Disk R/O and real warm restart; VER succeeded; complete scratch image is byte-identical before/after. Supersedes retained earlier failure.	build/compatibility/run-20260907-234144/DISKTEST_0379_D_VER_r/final.txt
0380	REQUIRED	P	Protected-disk sequential write	Protected mutation entered Disk R/O and real warm restart; VER succeeded; complete scratch image is byte-identical before/after. Supersedes retained earlier failure.	build/compatibility/run-20260907-234144/DISKTEST_0380_D_VER_r/final.txt
0381	REQUIRED	P	Protected-disk random write	Protected mutation entered Disk R/O and real warm restart; VER succeeded; complete scratch image is byte-identical before/after. Supersedes retained earlier failure.	build/compatibility/run-20260907-234144/DISKTEST_0381_D_VER_r/final.txt
0382	REQUIRED	P	Protected-disk delete	Protected mutation entered Disk R/O and real warm restart; VER succeeded; complete scratch image is byte-identical before/after. Supersedes retained earlier failure.	build/compatibility/run-20260907-234144/DISKTEST_0382_D_VER_r/final.txt
0383	REQUIRED	P	Protected-disk rename	Protected mutation entered Disk R/O and real warm restart; VER succeeded; complete scratch image is byte-identical before/after. Supersedes retained earlier failure.	build/compatibility/run-20260907-234144/DISKTEST_0383_D_VER_r/final.txt
0384	REQUIRED	P	Protection before mutation	Protected mutation entered Disk R/O and real warm restart; VER succeeded; complete scratch image is byte-identical before/after. Supersedes retained earlier failure.	build/compatibility/run-20260907-234144/DISKTEST_0384_D_VER_r/final.txt
0385	PROFILE REQUIRED	-	Fatal presentation	Run /0385 with DRI-PROTECT-INT provider	followup/ERRTEST_SAFE_v2/screens.txt
0386	OUTSIDE SCOPE	-	Fatal handler internals	Resident handler internals are outside public contract	followup/ERRTEST_SAFE_v2/screens.txt
0387	PROFILE REQUIRED	-	Exact diagnostic text	Run /0387 with DRI-DIAG-PRES capture	followup/ERRTEST_SAFE_v2/screens.txt
0388	NOT GUARANTEED	O	Late attribute change versus dirty FCB	Prereq/Open=03; random-I/O=C4	build/compatibility/run-20260908-000045/RANDTEST_GROUP:LIFECYCLE/rows.txt
0389	PROFILE REQUIRED	-	Automatic media-change protection	Run /0389 with REMOVABLE-MEDIA provider	followup/ERRTEST_SAFE_v2/screens.txt
0390	REQUIRED	P	CBIOS physical read result	Real BIOS read succeeded with media; documented confirmed eject followed by uncached read returned nonzero.	build/compatibility/readerr-20260908-002033/screens.txt
0391	REQUIRED	P	CBIOS physical write result	Real emulator write protection produced nonzero BIOS WRITE status; removing protection restored zero and a verified 128-byte transfer.	build/compatibility/bios-boundary/457/screens.txt
0392	REQUIRED	F	BIOS retry responsibility	Assembled DC_READ/DC_WRITE each returned status 1 after one seek attempt; declared provider would return success on the second attempt.	build/compatibility/gaps-20260908-004815/retry.json
0393	REQUIRED	F	Physical/logical error separation	Final physical BIOS errors return through the BDOS file-call result path instead of the operator path; successful and disk-full logical cases pass separately.	build/compatibility/run-20260907-234825/FAULTIO_VER_r/screens.txt
0394	REQUIRED	F	Bad Sector presentation	No Bad Sector operator path	build/compatibility/run-20260907-234825/FAULTIO_VER_r/rows.txt
0395	REQUIRED	BLOCKED	Physical-error ignore choice	Prerequisite Bad Sector operator path is absent (0394/0581 fail); no ignore/abort prompt exists at which to conduct this test.	build/compatibility/run-20260907-234825/FAULTIO_VER_r/screens.txt
0396	REQUIRED	BLOCKED	Physical-error abort choice	Prerequisite Bad Sector operator path is absent (0394/0581 fail); no ignore/abort prompt exists at which to conduct this test.	build/compatibility/run-20260907-234825/FAULTIO_VER_r/screens.txt
0397	REQUIRED	BLOCKED	Abort restart details	Prerequisite Bad Sector operator path is absent (0394/0581 fail); no ignore/abort prompt exists at which to conduct this test.	build/compatibility/run-20260907-234825/FAULTIO_VER_r/screens.txt
0398	NOT GUARANTEED	O	Result after ignored physical error	Ignored physical-error result is not guaranteed	followup/ERRTEST_SAFE_v2/screens.txt
